id,time (UTC),latitude (degrees_north),longitude (degrees_east),depth (m),sea_water_temperature (degree_C)
100420701,2010-10-09T11:50:00Z,42.2439,-70.6026,1.0,NaN
100420701,2010-10-09T13:50:00Z,42.227,-70.6013,1.0,NaN
100420701,2010-10-09T15:50:00Z,42.21,-70.5991,1.0,NaN
100420701,2010-10-09T17:50:00Z,42.1992,-70.5887,1.0,NaN
100420701,2010-10-09T21:50:00Z,42.1928,-70.5851,1.0,NaN
100420701,2010-10-09T23:50:00Z,42.1836,-70.5768,1.0,NaN
100420701,2010-10-10T01:50:00Z,42.1691,-70.5766,1.0,NaN
100420701,2010-10-10T03:50:00Z,42.1493,-70.5743,1.0,NaN
100420701,2010-10-10T05:50:00Z,42.1345,-70.567,1.0,NaN
100420701,2010-10-10T07:50:00Z,42.1303,-70.5535,1.0,NaN
100420701,2010-10-10T09:50:00Z,42.1339,-70.5384,1.0,NaN
100420701,2010-10-10T11:50:00Z,42.1334,-70.529,1.0,NaN
100420701,2010-10-10T13:50:00Z,42.123,-70.5276,1.0,NaN
100420701,2010-10-10T15:59:00Z,42.1093,-70.5289,1.0,NaN
100420701,2010-10-10T17:50:00Z,42.1034,-70.5286,1.0,NaN
100420701,2010-10-10T19:50:00Z,42.1106,-70.5202,1.0,NaN
100420701,2010-10-10T21:50:00Z,42.1243,-70.5062,1.0,NaN
100420701,2010-10-10T23:59:00Z,42.1337,-70.495,1.0,NaN
100420701,2010-10-11T01:50:00Z,42.1335,-70.4859,1.0,NaN
100420701,2010-10-11T03:50:00Z,42.1259,-70.4771,1.0,NaN
100420701,2010-10-11T05:50:00Z,42.1156,-70.4629,1.0,NaN
100420701,2010-10-11T07:50:00Z,42.1112,-70.4512,1.0,NaN
100420701,2010-10-11T09:50:00Z,42.114,-70.4402,1.0,NaN
100420701,2010-10-11T11:50:00Z,42.117,-70.4291,1.0,NaN
100420701,2010-10-11T13:50:00Z,42.1067,-70.4242,1.0,NaN
100420701,2010-10-11T15:50:00Z,42.0884,-70.4195,1.0,NaN
100420701,2010-10-11T17:50:00Z,42.0677,-70.4107,1.0,NaN
100420701,2010-10-11T19:50:00Z,42.0567,-70.3986,1.0,NaN
100420701,2010-10-11T21:50:00Z,42.0514,-70.3947,1.0,NaN
100420701,2010-10-11T23:50:00Z,42.0542,-70.3997,1.0,NaN
100420701,2010-10-12T01:50:00Z,42.0515,-70.4094,1.0,NaN
100420701,2010-10-12T03:50:00Z,42.0408,-70.4222,1.0,NaN
100420701,2010-10-12T05:50:00Z,42.0314,-70.4335,1.0,NaN
100420701,2010-10-12T07:50:00Z,42.033,-70.4386,1.0,NaN
100420701,2010-10-12T09:50:00Z,42.043,-70.434,1.0,NaN
100420701,2010-10-12T11:50:00Z,42.0513,-70.4187,1.0,NaN
100420701,2010-10-12T13:50:00Z,42.0435,-70.4105,1.0,NaN
100420701,2010-10-12T15:50:00Z,42.0226,-70.4113,1.0,NaN
100420701,2010-10-12T17:50:00Z,41.9997,-70.4162,1.0,NaN
100420701,2010-10-12T19:59:00Z,41.9836,-70.4255,1.0,NaN
100420701,2010-10-12T21:50:00Z,41.9837,-70.4386,1.0,NaN
100420701,2010-10-12T23:59:00Z,41.9951,-70.4496,1.0,NaN
100420701,2010-10-13T01:50:00Z,42.0064,-70.4555,1.0,NaN
100420701,2010-10-13T03:59:00Z,42.0061,-70.4583,1.0,NaN
100420701,2010-10-13T05:50:00Z,41.9982,-70.4569,1.0,NaN
100420701,2010-10-13T07:50:00Z,41.9881,-70.4566,1.0,NaN
100420701,2010-10-13T09:50:00Z,41.988,-70.4602,1.0,NaN
100420701,2010-10-13T11:59:00Z,41.994,-70.4639,1.0,NaN
100420701,2010-10-13T13:50:00Z,42.0001,-70.4669,1.0,NaN
100420701,2010-10-13T15:50:00Z,41.9971,-70.47,1.0,NaN
100420701,2010-10-13T17:50:00Z,41.99,-70.4737,1.0,NaN
100420701,2010-10-13T19:50:00Z,41.9843,-70.4807,1.0,NaN
100420701,2010-10-13T21:50:00Z,41.9918,-70.487,1.0,NaN
100420701,2010-10-13T23:50:00Z,42.006,-70.4887,1.0,NaN
100420701,2010-10-14T01:50:00Z,42.024,-70.4904,1.0,NaN
100420701,2010-10-14T03:50:00Z,42.0335,-70.4874,1.0,NaN
100420701,2010-10-14T05:50:00Z,42.0345,-70.4849,1.0,NaN
100420701,2010-10-14T07:50:00Z,42.0319,-70.4839,1.0,NaN
100420701,2010-10-14T09:50:00Z,42.035,-70.4849,1.0,NaN
100420701,2010-10-14T11:50:00Z,42.0445,-70.4869,1.0,NaN
100420701,2010-10-14T13:50:00Z,42.059,-70.4902,1.0,NaN
100420701,2010-10-14T15:50:00Z,42.0708,-70.4961,1.0,NaN
100420701,2010-10-14T17:59:00Z,42.0786,-70.5042,1.0,NaN
100420701,2010-10-14T20:05:00Z,42.0855,-70.5091,1.0,NaN
100420701,2010-10-14T21:50:00Z,42.0954,-70.512,1.0,NaN
100420701,2010-10-14T23:50:00Z,42.1108,-70.5106,1.0,NaN
100420701,2010-10-15T01:59:00Z,42.1265,-70.5112,1.0,NaN
100420701,2010-10-15T03:50:00Z,42.1386,-70.5194,1.0,NaN
100420701,2010-10-15T05:50:00Z,42.1434,-70.534,1.0,NaN
100420701,2010-10-15T07:50:00Z,42.1448,-70.5511,1.0,NaN
100420701,2010-10-15T09:50:00Z,42.1488,-70.5675,1.0,NaN
100420701,2010-10-15T11:50:00Z,42.1625,-70.5678,1.0,NaN
100420701,2010-10-15T13:50:00Z,42.1718,-70.5418,1.0,NaN
100420701,2010-10-15T15:50:00Z,42.1779,-70.5041,1.0,NaN
100420701,2010-10-15T17:50:00Z,42.1712,-70.4715,1.0,NaN
100420701,2010-10-15T19:50:00Z,42.1621,-70.4437,1.0,NaN
100420701,2010-10-15T21:50:00Z,42.1521,-70.4281,1.0,NaN
100420701,2010-10-15T23:50:00Z,42.1537,-70.4116,1.0,NaN
100420701,2010-10-16T01:50:00Z,42.1604,-70.3852,1.0,NaN
100420701,2010-10-16T03:50:00Z,42.1697,-70.3482,1.0,NaN
